absalon,N
achatio,N
adulfo,N
agrando,X
alberici,N
albericus,N
albertino,N
alemaniae,N
alemanorum,N
aleriensi,N
alfonso,N
andagauensis,N
andagauiae,N
andrinopolim,N
anglici,N
anglicum,N
antisiodorensi,N
aquilegiensi,N
aragoniae,N
aragoniam,N
aragonum,N
archadiam,N
archadium,N
arduino,X
argentaeque,X
argentam,X
arnulphum,N
arnulphus,N
astulphum,N
asyriorum,N
atila,N
atilae,N
auinionem,N
azo,X
balthassaris,N
bauariae,N
bauarius,N
belgrado,N
belgradum,N
bernabonem,N
bernaboni,N
bernabonis,N
bernabos,N
blanco,X
boemi,N
boloniensis,N
bonitium,X
bosna,N
bosnae,N
brachius,X
bruno,N
brunus,N
burgundo,N
cadulum,X
cadulumque,X
calixti,N
calixto,N
calixtus,N
cananeorum,N
canturiensis,N
capet,N
carapham,N
cararia,N
caroli,N
carolo,N
carolum,N
carolus,N
caruasallo,X
cassilionem,X
cathalanorumque,N
cathinensem,X
caualcabos,X
ceciliae,N
celestinus,X
cistersiense,N
claramonte,N
claramontem,N
clarauallensium,N
coclidis,X
comachio,X
constantinopolitana,N
constantinopolitano,N
constantinopolitanum,N
cordela,X
corigiensis,X
cossam,X
cotym,X
cratei,X
curadi,X
cypsellus,X
dauitica,N
dendam,X
dicearchum,N
ecelino,N
egidium,N
egidius,N
estensem,N
estensi,N
excommunicauit,V
ezelino,N
ezelinus,N
farieseorum,X
federici,N
federico,N
federicum,N
federicus,N
ferariae,N
ferdinandi,N
ferdinandus,N
fernandus,N
flandriae,N
florentina,N
florentini,N
florentinis,N
florentinorum,N
florentinos,N
florentinosque,N
florentinum,N
florentinus,N
folianus,X
fortebrachio,N
fotino,N
fotinus,N
francisco,N
frangapani,N
fulginei,X
gabilionem,X
gaii,N
gambacurta,N
garilianum,N
gilberto,N
gilbertum,N
gisulphi,N
goliad,N
gonzaga,N
guido,N
guidone,N
guiscardo,N
gulielmus,N
haucut,X
heliseo,N
henrici,N
henrico,N
henricum,N
henricus,N
hostiensi,X
hyerecunctem,N
hyeronimo,N
hyerosolimam,N
hyerosolimorum,N
hyerosolimum,N
hyerusalem,N
hyerusolimae,N
iaize,N
iazabel,N
iese,N
ildericum,N
ioacchinus,N
israhel,N
israhelitarum,N
iudaeorum,N
iudas,N
iulianistae,N
ladislauum,N
lodouicum,N
lodricum,X
lombardiae,N
longobardis,N
longobardorum,N
longobardos,N
lonogario,X
lotharii,N
lotharium,N
luchino,N
luchinum,N
ludouici,N
ludouico,N
ludouicum,N
ludouicus,N
luithprando,N
lyrim,X
macchabaeorum,N
macchabaeus,N
machomectus,N
machometti,N
malatesta,N
manfredo,N
manfredum,N
manfredus,N
marchiae,X
marchionis,X
massanus,X
mastino,X
mintium,N
mirandula,N
modrussiensis,N
montemclarum,N
montoni,N
montonii,N
montonio,N
montonius,N
nucerino,N
obertus,N
oliuerio,N
oliuerium,N
ordelaphus,N
pallauicino,N
pallauicinus,N
panitius,X
pannones,N
pelaguram,X
pelegrinum,X
pepulus,X
peronae,X
phalarim,N
phidon,N
philistinis,N
philistinorum,N
pipini,N
pipino,N
pipinum,N
poloni,N
portugaliae,N
pretermitto,V
princiuallus,X
ptholomaidem,N
ptholomei,N
pytonem,X
rainaldum,N
rapsacis,X
reginaldus,N
robertus,N
rogerium,N
romandiola,X
romandiolae,X
salamon,N
samarinensium;N
sathanae,N
saxoniam,N
senacherib,N
sfortia,N
sforzia,N
sinibaldus,N
soncinum,N
soractem,N
sueropili,N
symachus,N
syracusani,N
syracusanos,N
thedaldo,X
ticinium,N
tipherni,N
tipherno,N
transimenum,X
transimundo,X
transimundum,X
turcorum,N
turcos,N
turcum,N
turcus,N
turingiae,N
ugonem,N
ungariae,N
ungarorum,N
urbeuetanis,X
urbeuetanus,X
uicecancellario,V
uicecancellarium,V
uicecomitem,V
uicecomitibus,V
uicecomitum,V
uiterbiensibus,N
zagarolum,X
zimbri,X
adbellum,Corr
alpestrium,X
antipapam,V
antipapis,V
audeantumquam,Corr
benemerito,V
blatras,V
caesareus,X
castellae,V
circumuicina,V
circumuicinis,V
circumuicinorum,V
circumuicinos,V
coeptamin,Corr
colapsae,V
comisit,V
complura,V
confortauit,V
consumationem,V
datasunt,Corr
despotum,V
dirripiuntur,V
ebulisse,V
epidimia,V
epidimiam,V
errexerant,V
erripuerit,V
exarchatum,V
excussise,Sic
gloriabantur,V
gloriantes,V
gratitudo,V
herculeus,N
heresiarchis,V
imprecatus,V
inciuitatibus,Corr
increpassent,V
inexilium,Corr
ingnorantiae,Sic
ingrediretur,V
insupportabilia,V
interturbata,V
inuriam,Sic
inuuidia,Sic
iugeat,Sic
laquar,Sic
marcharum,X
miraculosa,V
monarcham,V
mulctati,V
nauclerio,V
nebulonesqui,Corr
oboedierit,V
patritium,V
perstrenue,V
pessumdederint,V
ponteficiis,Sic
pontficia,Sic
praecario,V
praepolentium,V
praestaneo,V
praestassent,V
presidio,V
proculdubio,V
propediem,V
prophanauerant,V
prophanet,V
quandoquidem,V
quorundam,V
quotannis,V
relictari,Sic
requisisset,V
sibimet,V
stringi,V
stringit,V
subcedentibus,V
subthrono,V
superuictura,V
tamdiu,V
tercentis,V
tergiuersarent,V
teterrima,V
tronum,V
turco,N
tyrannunculus,N
